StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q3,D_PropCompGood70_1,D_PropHighGood70_1,D_PropLowGood70_1,D_PropCompBad70_1,D_PropBadHigh70_1,D_PropLowBad70_1,D_CompCheck,B_PropCompGood70_1,B_PropHighGood70_1,B_PropLowGood70_1,B_PropCompBad70_1,B_PropHighBad70_1,B_PropLowBad70_1,B_CompCheck,C_PropCompGood70_1,C_PropHighGood70_1,C_PropLowGood70_1,C_PropCompBad70_1,C_PropHighBad70_1,C_PropLowBad70_1,C_CompCheck,D_PropCompGood85_1,D_PropHighGood85_1,D_PropLowGood85_1,D_PropCompBad85_1,D_PropHighBad85_1,D_PropLowBad85_1,B_PropCompGood85_1,B_PropHighGood85_1,B_PropLowGood85_1,B_PropCompBad85_1,B_PropHighBad85_1,B_PropLowBad85_1,C_PropCompGood85_1,C_PropHighGood85_1,C_PropLowGood85_1,C_PropCompBad85_1,C_PropHighBad85_1,C_PropLowBad85_1,D_PropCompGood98_1,D_PropHighGood98_1,D_PropLowGood98_1,D_PropCompBad98_1,D_PropHighBad98_1,D_PropLowBad98_1,B_PropCompGood98_1,B_PropHighGood98_1,B_PropLowGood98_1,B_PropCompBad98_1,B_PropHighBad98_1,B_PropLowBad98_1,C_PropCompGood98_1,C_PropHighGood98_1,C_PropLowGood98_1,C_PropCompBad98_1,C_PropHighGood98_1,C_PropLowBad98_1,D_StabCompGood70_1,D_StabHighGood70_1,D_StabLowGood70_1,D_StabCompBad70_1,D_StabHighBad70_1,D_StabLowBad70_1,B_StabCompGood70_1,B_StabHighGood70_1,B_StabLowGood70_1,B_StabCompBad70_1,B_StabHighBad70_1,B_StabLowBad70_1,C_StabCompGood70_1,C_StabHighGood70_1,C_StabLowGood70_1,C_StabCompBad70_1,C_StabHighBad70_1,C_StabLowBad70_1,D_StabCompGood85_1,D_StabHighGood85_1,D_StabLowGood85_1,D_StabCompBad85_1,D_StabHighBad85_1,D_StabLowBad85_1,B_StabCompGood85_1,B_StabHighGood85_1,B_StabLowGood85_1,B_StabCompBad85_1,B_StabHighBad85_1,B_StabLowBad85_1,C_StabCompGood85_1,C_StabHighGood85_1,C_StabLowGood85_1,C_StabCompBad85_1,C_StabHighBad85_1,C_StabLowBad85_1,D_StabCompGood98_1,D_StabHighGood98_1,D_StabLowGood98_1,D_StabCompBad98_1,D_StabHighBad98_1,D_StabLowBad98_1,B_StabCompGood98_1,B_StabHighGood98_1,B_StabLowGood98_1,B_StabCompBad98_1,B_StabHighBad98_1,B_StabLowBad98_1,C_StabCompGood98_1,C_StabHighGood98_1,C_StabLowGood98_1,C_StabCompBad98_1,C_StabHighBad98_1,C_StabLowBad98_1,Feedback,PROLIFIC_PID,pay,time,STUDY_ID,SESSION_ID,Vignette,Group
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Adult Consent Form

Princeton University

 

This study has been approved by the Institutional Review Board for Human Subjects.

TITLE OF RESEARCH: Explanation and Understanding



PRINCIPAL INVESTIGATOR: Tania Lombrozo



PRINCIPAL INVESTIGATOR’S DEPARTMENT: Psychology



You are being invited to take part in a research study. Before you decide to participate in this study, it is important that you understand why the research is being done and what it will involve. Please take the time to read the following information carefully. Please ask the researcher if there is anything that is not clear or if you need more information.



Purpose of the research:

This study is designed to test hypotheses about the nature of people's intuitive theories about the world, how they can be changed, and how they influence judgments and behavior. We also hope to learn about how you conceptually understand the world around you. Our intuitive sense of everyday objects and events in the world play a significant role in our thoughts and behaviors, and we wish to understand the nature of human cognition. 



Study Procedures: 

You may be asked to do one or more of the following tasks 1) causal learning tasks (e.g., figuring out what causes what), 2) social tasks (e.g., reasoning about others’ minds and behavior), 3) linguistic tasks (e.g., word associations and learning), 4) imagination tasks (e.g., reasoning about events counter to fact), 5) categorization/association tasks (e.g., grouping objects or stating what comes to mind given a prompt), 6) general cognitive tasks (e.g., impulse control and searching for hidden objects). You may be asked to make judgments about what you see, answer multiple choice or open-ended questions about your judgments (such as making predictions and providing explanations), observe events, and perform actions yourself (such as grouping objects). Sometimes you might watch a short video clip, look at pictures, or listen to music, and you may be asked to answer questions about how the clip or music made you feel.



Your total expected time commitment for this study is: [Field-time].



Benefits and Risks: 

There are no direct benefits to you as a participant, but this research will help us understand various cognitive processes, which may benefit society in a number of ways, including influencing legal and public policy.



Risks associated with participation in this study are minimal. You may feel slight discomfort answering some questions, but you may refrain from answering any questions that make you uncomfortable and may withdraw your participation at any time even after completing the experiment without penalty.



Confidentiality:

We will not be asking for any personally identifying information, and we will handle responses as confidentially as possible. Prolific IDs will never be tied to your responses on this survey. However, we cannot guarantee the confidentiality of information transmitted over the Internet. To minimize this risk, data containing anything that might be personally identifiable (e.g. Prolific IDs or IP addresses) will be encrypted on transfer and storage and will only be accessible to qualified lab personnel. We will be keeping data collected as part of this experiment indefinitely. This anonymized data (containing neither Prolific IDs nor IP addresses) may be shared with the scientific community or with other participants to be used as stimuli in future studies.



Compensation:

For your participation, you will receive [Field-pay]. If for any reason you do not complete the study (e.g. technical difficulties, or a desire to stop), we will only be able to pay you if you send an email through Prolific, or by emailing the lab manager at cognition@princeton.edu. If you have any questions about the study, feel free to contact the lab manager or the Principal Investigator, Tania Lombrozo, at lombrozo@princeton.edu.



Who to contact with questions:



1.PRINCIPAL INVESTIGATOR:

Tania Lombrozo

lombrozo@princeton.edu 



2. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the Investigator, please contact the Institutional Review Board at:

Assistant Director, Research Integrity and Assurance

Phone: (609) 258-9843

Email: irb@princeton.edu



3. I understand the information that was presented and that: A. My participation is voluntary, and I may withdraw my consent and discontinue participation in the project at any time. My refusal to participate will not result in any penalty. B. I do not waive any legal rights or release Princeton University, its agents, or you from liability for negligence. 



 4. I hereby give my consent to be the subject of your research.","What is your Prolific ID?

Please note that this response should auto-fill with the correct ID.",D_PropCompGood70 - Planting Drol in high-mineral soil causes them to have bumpy stems.,"D_PropHighGood70 - Planting Drol in high-mineral, high-sodium soil causes them to have bumpy stems.","D_PropLowGood70 - Planting Drol in high-mineral, low-sodium soil causes them to have bumpy stems.",D_PropCompBad70 - Planting Drol in low-mineral soil causes them to have bumpy stems.,"D_PropBadHigh70 - Planting Drol in low-mineral, high-sodium soil causes them to have bumpy stems.","D_PropLowBad70 - Planting Drol in low-mineral, low-sodium soil causes them to have bumpy stems.",What is the name of the mushroom studied in the report you were asked to summarize on the previous page?,B_PropCompGood70 - Raising Bricofly larvae in a warm tank causes them to develop blue wings.,"B_PropHighGood70 - Raising Bricofly larvae in a warm, humid tank causes them to develop blue wings.","B_PropLowGood70 - Raising Bricofly larvae in a warm, dry tank causes them to develop blue wings.",B_PropCompBad70 - Raising Bricofly larvae in a cold tank causes them to develop blue wings.,"B_PropHighBad70 - Raising Bricofly larvae in a cold, humid tank causes them to develop blue wings.","B_PropLowBad70 - Raising Bricofly larvae in a cold, dry tank causes them to develop blue wings.",What is the name of the insect studied in the report you were asked to summarize on the previous page?,C_PropCompGood70 - Placing Chapagite rocks in warm water causes them to develop fissures.,"C_PropHighGood70 - Placing Chapagite rocks in warm, salty water causes them to develop fissures.","C_PropLowGood70 - Placing Chapagite rocks in warm, fresh water causes them to develop fissures.",C_PropCompBad70 - Placing Chapagite rocks in cold water causes them to develop fissures.,"C_PropHighBad70 - Placing Chapagite rocks in cold, salty water causes them to develop fissures.","C_PropLowBad70 - Placing Chapagite rocks in cold, fresh water causes them to develop fissures.",What is the name of the rock studied in the report you were asked to summarize on the previous page?,D_PropCompGood85 - Planting Drol in high-mineral soil causes them to have bumpy stems.,"D_PropHighGood85 - Planting Drol in high-mineral, high-sodium soil causes them to have bumpy stems.","D_PropLowGood85 - Planting Drol in high-mineral, low-sodium soil causes them to have bumpy stems.",D_PropCompBad85 - Planting Drol in low-mineral soil causes them to have bumpy stems.,"D_PropHighBad85 - Planting Drol in low-mineral, high-sodium soil causes them to have bumpy stems.","D_PropLowBad85 - Planting Drol in low-mineral, low-sodium soil causes them to have bumpy stems.",B_PropCompGood85 - Raising Bricofly larvae in a warm tank causes them to develop blue wings.,"B_PropHighGood85 - Raising Bricofly larvae in a warm, humid tank causes them to develop blue wings.","B_PropLowGood85 - Raising Bricofly larvae in a warm, dry tank causes them to develop blue wings.",B_PropCompBad85 - Raising Bricofly larvae in a cold tank causes them to develop blue wings.,"B_PropHighBad85 - Raising Bricofly larvae in a cold, humid tank causes them to develop blue wings.","B_PropLowBad85 - Raising Bricofly larvae in a cold, dry tank causes them to develop blue wings.",C_PropCompGood85 - Placing Chapagite rocks in warm water causes them to develop fissures.,"C_PropHighGood85 - Placing Chapagite rocks in warm, salty water causes them to develop fissures.","C_PropLowGood85 - Placing Chapagite rocks in warm, fresh water causes them to develop fissures.",C_PropCompBad85 - Placing Chapagite rocks in cold water causes them to develop fissures.,"C_PropHighBad85 - Placing Chapagite rocks in cold, salty water causes them to develop fissures.","C_PropLowBad85 - Placing Chapagite rocks in cold, fresh water causes them to develop fissures.",D_PropCompGood98 - Planting Drol in high-mineral soil causes them to have bumpy stems.,"D_PropHighGood98 - Planting Drol in high-mineral, high-sodium soil causes them to have bumpy stems.","D_PropLowGood98 - Planting Drol in high-mineral, low-sodium soil causes them to have bumpy stems.",D_PropCompBad98 - Planting Drol in low-mineral soil causes them to have bumpy stems.,"D_PropHighBad98 - Planting Drol in low-mineral, high-sodium soil causes them to have bumpy stems.","D_PropLowBad98 - Planting Drol in low-mineral, low-sodium soil causes them to have bumpy stems.",B_PropCompGood98 - Raising Bricofly larvae in a warm tank causes them to develop blue wings.,"B_PropHighGood98 - Raising Bricofly larvae in a warm, humid tank causes them to develop blue wings.","B_PropLowGood98 - Raising Bricofly larvae in a warm, dry tank causes them to develop blue wings.",B_PropCompBad98 - Raising Bricofly larvae in a cold tank causes them to develop blue wings.,"B_PropHighBad98 - Raising Bricofly larvae in a cold, humid tank causes them to develop blue wings.","B_PropLowBad98 - Raising Bricofly larvae in a cold, dry tank causes them to develop blue wings.",C_PropCompGood98 - Placing Chapagite rocks in warm water causes them to develop fissures.,"C_PropHighGood98 - Placing Chapagite rocks in warm, salty water causes them to develop fissures.","C_PropLowGood98 - Placing Chapagite rocks in warm, fresh water causes them to develop fissures.",C_PropCompBad98 - Placing Chapagite rocks in cold water causes them to develop fissures.,"C_PropHighGood98 - Placing Chapagite rocks in cold, salty water causes them to develop fissures.","C_PropLowBad98 - Placing Chapagite rocks in cold, fresh water causes them to develop fissures.",D_StabCompGood70 - Planting Drol in high-mineral soil causes them to have bumpy stems.,D_StabHighGood70 - Planting Drol in high-mineral soil and watering them with salty water causes them to have bumpy stems.,D_StabLowGood70 - Planting Drol in high-mineral soil and watering them with fresh water causes them to have bumpy stems.,D_StabCompBad70 - Planting Drol in low-mineral soil causes them to have bumpy stems.,D_StabHighBad70 - Planting Drol in low-mineral soil and watering them with salty water causes them to have bumpy stems.,D_StabLowBad70 - Planting Drol in low-mineral soil and watering them with fresh water causes them to have bumpy stems.,B_StabCompGood70 - Raising Bricofly larvae in a warm tank causes them to develop blue wings.,B_StabHighGood70 - Raising Bricofly larvae in a warm tank and misting them with water causes them to develop blue wings.,B_StabLowGood70 - Raising Bricofly larvae in a warm tank and blowing dry air onto them causes them to develop blue wings.,B_StabCompBad70 - Raising Bricofly larvae in a cold tank causes them to develop blue wings.,B_StabHighBad70 - Raising Bricofly larvae in a cold tank and misting them with water causes them to develop blue wings.,B_StabLowBad70 - Raising Bricofly larvae in a cold tank and blowing dry air onto them causes them to develop blue wings.,C_StabCompGood70 - Placing Chapagite rocks in warm water causes them to develop fissures.,C_StabHighGood70 - Placing Chapagite rocks in warm water and wrapping them in a saline cloth causes them to develop fissures.,C_StabLowGood70 - Placing Chapagite rocks in warm water and wrapping them in a plain cloth causes them to develop fissures.,C_StabCompBad70 - Placing Chapagite rocks in cold water causes them to develop fissures.,C_StabHighBad70 - Placing Chapagite rocks in cold water and wrapping them in a saline cloth causes them to develop fissures.,C_StabLowBad70 - Placing Chapagite rocks in cold water and wrapping them with a plain cloth causes them to develop fissures.,D_StabCompGood85 - Planting Drol in high-mineral soil causes them to have bumpy stems.,D_StabHighGood85 - Planting Drol in high-mineral soil and watering them with salty water causes them to have bumpy stems.,D_StabLowGood85 - Planting Drol in high-mineral soil and watering them with fresh water causes them to have bumpy stems.,D_StabCompBad85 - Planting Drol in low-mineral soil causes them to have bumpy stems.,D_StabHighBad85 - Planting Drol in low-mineral soil and watering them with salty water causes them to have bumpy stems.,D_StabLowBad85 - Planting Drol in low-mineral soil and watering them with fresh water causes them to have bumpy stems.,B_StabCompGood85 - Raising Bricofly larvae in a warm tank causes them to develop blue wings.,B_StabHighGood85 - Raising Bricofly larvae in a warm tank and misting them with water causes them to develop blue wings.,B_StabLowGood85 - Raising Bricofly larvae in a warm tank and blowing dry air onto them causes them to develop blue wings.,B_StabCompBad85 - Raising Bricofly larvae in a cold tank causes them to develop blue wings.,B_StabHighBad85 - Raising Bricofly larvae in a cold tank and misting them with water causes them to develop blue wings.,B_StabLowBad85 - Raising Bricofly larvae in a cold tank and blowing dry air onto them causes them to develop blue wings.,C_StabCompGood85 - Placing Chapagite rocks in warm water causes them to develop fissures.,C_StabHighGood85 - Placing Chapagite rocks in warm water and wrapping them in a saline cloth causes them to develop fissures.,C_StabLowGood85 - Placing Chapagite rocks in warm water and wrapping them in a plain cloth causes them to develop fissures.,C_StabCompBad85 - Placing Chapagite rocks in cold water causes them to develop fissures.,C_StabHighBad85 - Placing Chapagite rocks in cold water and wrapping them in a saline cloth causes them to develop fissures.,C_StabLowBad85 - Placing Chapagite rocks in cold water and wrapping them with a plain cloth causes them to develop fissures.,D_StabCompGood98 - Planting Drol in high-mineral soil causes them to have bumpy stems.,D_StabHighGood98 - Planting Drol in high-mineral soil and watering them with salty water causes them to have bumpy stems.,D_StabLowGood98 - Planting Drol in high-mineral soil and watering them with fresh water causes them to have bumpy stems.,D_StabCompBad98 - Planting Drol in low-mineral soil causes them to have bumpy stems.,D_StabHighBad98 - Planting Drol in low-mineral soil and watering them with salty water causes them to have bumpy stems.,D_StabLowBad98 - Planting Drol in low-mineral soil and watering them with fresh water causes them to have bumpy stems.,B_StabCompGood98 - Raising Bricofly larvae in a warm tank causes them to develop blue wings.,B_StabHighGood98 - Raising Bricofly larvae in a warm tank and misting them with water causes them to develop blue wings.,B_StabLowGood98 - Raising Bricofly larvae in a warm tank and blowing dry air onto them causes them to develop blue wings.,B_StabCompBad98 - Raising Bricofly larvae in a cold tank causes them to develop blue wings.,B_StabHighBad98 - Raising Bricofly larvae in a cold tank and misting them with water causes them to develop blue wings.,B_StabLowBad98 - Raising Bricofly larvae in a cold tank and blowing dry air onto them causes them to develop blue wings.,C_StabCompGood98 - Placing Chapagite rocks in warm water causes them to develop fissures.,C_StabHighGood98 - Placing Chapagite rocks in warm water and wrapping them in a saline cloth causes them to develop fissures.,C_StabLowGood98 - Placing Chapagite rocks in warm water and wrapping them in a plain cloth causes them to develop fissures.,C_StabCompBad98 - Placing Chapagite rocks in cold water causes them to develop fissures.,C_StabHighBad98 - Placing Chapagite rocks in cold water and wrapping them in a saline cloth causes them to develop fissures.,C_StabLowBad98 - Placing Chapagite rocks in cold water and wrapping them with a plain cloth causes them to develop fissures.,"Was anything about this survey confusing difficult or frustrating for you? If so, please tell us below:",PROLIFIC_PID,pay,time,STUDY_ID,SESSION_ID,Vignette,Group
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID80""}","{""ImportId"":""QID82_1""}","{""ImportId"":""QID83_1""}","{""ImportId"":""QID84_1""}","{""ImportId"":""QID85_1""}","{""ImportId"":""QID86_1""}","{""ImportId"":""QID87_1""}","{""ImportId"":""QID151""}","{""ImportId"":""QID153_1""}","{""ImportId"":""QID154_1""}","{""ImportId"":""QID155_1""}","{""ImportId"":""QID156_1""}","{""ImportId"":""QID157_1""}","{""ImportId"":""QID158_1""}","{""ImportId"":""QID222""}","{""ImportId"":""QID71_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID89_1""}","{""ImportId"":""QID90_1""}","{""ImportId"":""QID91_1""}","{""ImportId"":""QID92_1""}","{""ImportId"":""QID93_1""}","{""ImportId"":""QID94_1""}","{""ImportId"":""QID160_1""}","{""ImportId"":""QID161_1""}","{""ImportId"":""QID162_1""}","{""ImportId"":""QID163_1""}","{""ImportId"":""QID164_1""}","{""ImportId"":""QID165_1""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID96_1""}","{""ImportId"":""QID97_1""}","{""ImportId"":""QID98_1""}","{""ImportId"":""QID99_1""}","{""ImportId"":""QID100_1""}","{""ImportId"":""QID101_1""}","{""ImportId"":""QID167_1""}","{""ImportId"":""QID168_1""}","{""ImportId"":""QID169_1""}","{""ImportId"":""QID170_1""}","{""ImportId"":""QID171_1""}","{""ImportId"":""QID172_1""}","{""ImportId"":""QID75_1""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID117_1""}","{""ImportId"":""QID118_1""}","{""ImportId"":""QID119_1""}","{""ImportId"":""QID120_1""}","{""ImportId"":""QID121_1""}","{""ImportId"":""QID122_1""}","{""ImportId"":""QID188_1""}","{""ImportId"":""QID189_1""}","{""ImportId"":""QID190_1""}","{""ImportId"":""QID191_1""}","{""ImportId"":""QID192_1""}","{""ImportId"":""QID193_1""}","{""ImportId"":""QID76_1""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID124_1""}","{""ImportId"":""QID125_1""}","{""ImportId"":""QID126_1""}","{""ImportId"":""QID127_1""}","{""ImportId"":""QID128_1""}","{""ImportId"":""QID129_1""}","{""ImportId"":""QID195_1""}","{""ImportId"":""QID196_1""}","{""ImportId"":""QID197_1""}","{""ImportId"":""QID198_1""}","{""ImportId"":""QID199_1""}","{""ImportId"":""QID200_1""}","{""ImportId"":""QID77_1""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID62_1""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID131_1""}","{""ImportId"":""QID132_1""}","{""ImportId"":""QID133_1""}","{""ImportId"":""QID134_1""}","{""ImportId"":""QID135_1""}","{""ImportId"":""QID136_1""}","{""ImportId"":""QID202_1""}","{""ImportId"":""QID203_1""}","{""ImportId"":""QID204_1""}","{""ImportId"":""QID205_1""}","{""ImportId"":""QID206_1""}","{""ImportId"":""QID207_1""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""pay""}","{""ImportId"":""time""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""Vignette""}","{""ImportId"":""Group""}"
12/20/21 10:04,12/20/21 10:05,IP Address,*******,100,96,TRUE,12/20/21 10:05,R_2WDaK6O3MmUDCky,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,60e4bcdf85f979aaddffa104,,,,,,,,,,,,,,Bricofly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,1,,,,,,,,60e4bcdf85f979aaddffa104,$0.38 ,3 minutes,61c07d3abb956bd1c6c1097d,61c0b77e9ce91e9ac68c05c8,Bricofly,Stab_Loss_2
12/20/21 10:03,12/20/21 10:06,IP Address,*******,100,153,TRUE,12/20/21 10:06,R_3nc0bqbhozRhmDh,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5adfa3a1f6b58c0001fa8ce2,,,,,,,,1,1,1,1,-1,-1,Bricofly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5adfa3a1f6b58c0001fa8ce2,$0.38 ,3 minutes,61c07d3abb956bd1c6c1097d,61c0b777a9c3d64a0a57eb86,Bricofly,Prop_No_Loss
12/20/21 10:04,12/20/21 10:07,IP Address,*******,100,171,TRUE,12/20/21 10:07,R_ylRTZzT9TyY20Eh,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5f83bd668096c118417050c1,,,,,,,,,,,,,,,,,,,,,Chapagite,,,,,,,,,,,,,1,2,2,-1,1,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f83bd668096c118417050c1,$0.38 ,3 minutes,61c07d3abb956bd1c6c1097d,61c0b7aa7a89cd1dea39797d,Chapagite,Prop_Loss_1
12/20/21 10:07,12/20/21 10:09,IP Address,*******,100,119,TRUE,12/20/21 10:09,R_2f3zPmFjSqyazCF,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5b60e0c41f5224000167756b,,,,,,,,,,,,,,Bricofly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,-3,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,5b60e0c41f5224000167756b,$0.38 ,3 minutes,61c07d3abb956bd1c6c1097d,61c0b836ae40c411661baf08,Bricofly,Prop_Loss_2
12/20/21 10:11,12/20/21 10:12,IP Address,*******,100,90,TRUE,12/20/21 10:13,R_3Huku3QaO8svTnd,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,614a03baac82415bf7979cf5,,,,,,,,,,,,,,,,,,,,,Chapagite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,-1,-1,1,-1,1,,,,,,,,,,,,,,,,,,,,614a03baac82415bf7979cf5,$0.38 ,3 minutes,61c07d3abb956bd1c6c1097d,61c0b93a52528ee6ab6d55e4,Chapagite,Stab_Loss_1
12/20/21 10:21,12/20/21 10:27,IP Address,*******,100,319,TRUE,12/20/21 10:27,R_2y8zE4dRNc5p5rr,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,60fcefe3cebc51be4e8e74e5,,,,,,,,,,,,,,,,,,,,,Chapagite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,-3,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60fcefe3cebc51be4e8e74e5,$0.38 ,3 minutes,61c0ba38b73626a4ba25d38d,61c0bbaac7403006d47c6ad4,Chapagite,Stab_No_Loss
12/20/21 10:27,12/20/21 10:28,IP Address,*******,100,91,TRUE,12/20/21 10:28,R_1KxqU333atYOIlz,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,60fa2e13870d7bb57b21427f,,,,,,,,,,,,,,Bricofly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,-3,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,60fa2e13870d7bb57b21427f,$0.38 ,3 minutes,61c0ba38b73626a4ba25d38c,61c0bced5d0c4ad18e86741e,Bricofly,Stab_Loss_1
12/20/21 10:26,12/20/21 10:29,IP Address,*******,100,181,TRUE,12/20/21 10:29,R_3Db9L08P4pVCZri,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,60fb6d9f025ae5792472483a,1,-1,-1,-3,-3,-3,Drol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I wouldn’t use the word “cause” in my report at all, even for a controlled experiment. The experiment gives more evidence, doesn’t necessarily prove anything. ",60fb6d9f025ae5792472483a,$0.38 ,3 minutes,61c0ba38b73626a4ba25d38c,61c0bccd32bc125a6513756b,Drol,Prop_No_Loss
